product_id,lot_id,sku,product_name,category,barcode_ean13,location_id,location_name,supplier_id,use_by_or_best_before,batch_received_date,expiry_date,opening_stock_qty,lot_qty,reorder_level_qty,unit_cost,unit_price,avg_daily_sales,safety_stock,case_size,max_stock
P000015,L0000037,SKU-00015,Organic Brown Bread,Bakery,1.95159E+12,LOC003,Birmingham - Central,2004,Use By,10/19/2025,10/20/2025,343,232,13,0.52,0.65,1.77,6,20,343
P000048,L0000038,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC003,Birmingham - Central,2001,Use By,10/19/2025,10/20/2025,79,35,14,2.62,3.67,2.77,9,8,79
P000014,L0000039,SKU-00014,Select Spinach,Produce,3.54608E+12,LOC003,Birmingham - Central,2003,Use By,10/19/2025,10/28/2025,219,29,54,1.82,2.42,5.56,17,8,219
P000003,L0000040,SKU-00003,Local Brown Bread,Bakery,7.10122E+12,LOC001,London - High St,2004,Use By,10/17/2025,10/21/2025,344,87,46,1.29,1.77,2,6,8,344
P000041,L0000041,SKU-00041,Premium Tomato Sauce,Pantry,6.21285E+12,LOC001,London - High St,2006,Best Before,3/28/2026,5/13/2026,36,16,35,6.27,8.52,1.67,6,6,105
P000001,L0000042,SKU-00001,Classic Orange Juice 1L,Beverages,4.16411E+11,LOC001,London - High St,2002,Best Before,8/9/2025,10/25/2025,147,58,27,1.56,1.9,2.4,8,8,147
P000024,L0000043,SKU-00024,Select White Bread,Bakery,4.77348E+12,LOC001,London - High St,2001,Use By,10/19/2025,10/20/2025,120,68,23,2.12,3.07,1.96,6,6,120
P000049,L0000044,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC003,Birmingham - Central,2002,Use By,10/12/2025,10/21/2025,182,41,45,2.68,3.39,4.48,14,12,182
P000046,L0000045,SKU-00046,Organic Ice Cream 500ml,Frozen,6.61103E+12,LOC002,Manchester - City,2011,Best Before,11/9/2025,12/12/2025,348,122,33,4.21,4.94,1.76,6,10,348
P000040,L0000046,SKU-00040,Budget Cola 330ml,Beverages,1.91765E+12,LOC003,Birmingham - Central,2005,Best Before,5/23/2026,8/11/2026,186,39,27,4.17,5.3,3.45,11,24,186
P000032,L0000047,SKU-00032,Budget Chicken Breast 500g,Meat,6.00217E+12,LOC002,Manchester - City,2009,Use By,10/17/2025,10/20/2025,353,222,72,5.33,7.57,2.29,7,8,353
P000051,L0000048,SKU-00051,Everyday Potatoes,Produce,5.72311E+12,LOC003,Birmingham - Central,2004,Use By,10/20/2025,10/22/2025,318,229,10,1.37,1.6,1.61,5,24,318
P000014,L0000049,SKU-00014,Select Spinach,Produce,3.54608E+12,LOC003,Birmingham - Central,2003,Use By,10/20/2025,10/24/2025,173,17,54,1.82,2.42,4.54,14,10,173
P000049,L0000050,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC002,Manchester - City,2002,Use By,10/15/2025,10/27/2025,261,151,45,2.68,3.39,2.28,7,6,261
P000013,L0000051,SKU-00013,Select Sweetcorn 1kg,Frozen,8.82582E+12,LOC003,Birmingham - Central,2002,Best Before,5/28/2026,8/17/2026,239,23,66,5.53,7.22,0.47,2,20,239
P000060,L0000052,SKU-00060,Local Toothpaste 100ml,PersonalCare,7.68503E+11,LOC001,London - High St,2001,Best Before,4/10/2026,5/17/2026,205,44,80,1.41,1.75,0.35,2,6,240
P000017,L0000053,SKU-00017,Budget Dish Soap 500ml,Household,9.10576E+12,LOC002,Manchester - City,2006,Best Before,4/5/2026,4/21/2026,134,114,19,3,3.93,0.31,1,10,134
P000056,L0000054,SKU-00056,Premium Sweetcorn 1kg,Frozen,1.8281E+11,LOC001,London - High St,2009,Best Before,8/1/2025,10/24/2025,119,107,17,1.5,1.95,0.55,2,24,119
P000005,L0000055,SKU-00005,Organic Apples,Produce,8.65802E+12,LOC003,Birmingham - Central,2006,Use By,10/16/2025,10/20/2025,364,21,71,1.64,2.1,4.76,15,10,364
P000017,L0000056,SKU-00017,Budget Dish Soap 500ml,Household,9.10576E+12,LOC001,London - High St,2006,Best Before,8/21/2026,10/10/2026,57,20,19,3,3.93,0.11,1,10,57
P000045,L0000057,SKU-00045,Family Dish Soap 500ml,Household,4.03028E+12,LOC003,Birmingham - Central,2010,Best Before,5/21/2026,6/11/2026,184,130,71,7.08,10.07,0.14,1,24,213
P000049,L0000058,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC002,Manchester - City,2002,Use By,10/19/2025,10/28/2025,346,195,45,2.68,3.39,3.84,12,12,346
P000017,L0000059,SKU-00017,Budget Dish Soap 500ml,Household,9.10576E+12,LOC003,Birmingham - Central,2006,Best Before,7/12/2027,8/11/2027,107,20,19,3,3.93,0.24,1,16,107
P000057,L0000060,SKU-00057,Premium Orange Juice 1L,Beverages,2.53567E+12,LOC001,London - High St,2010,Best Before,12/1/2025,2/1/2026,215,11,12,2.46,3.29,0.32,1,24,215
P000032,L0000061,SKU-00032,Budget Chicken Breast 500g,Meat,6.00217E+12,LOC003,Birmingham - Central,2009,Use By,10/20/2025,10/24/2025,396,304,72,5.33,7.57,2.64,8,10,396
P000050,L0000062,SKU-00050,Organic Ice Cream 500ml,Frozen,9.62818E+12,LOC002,Manchester - City,2003,Best Before,11/23/2025,12/31/2025,213,49,55,4.1,5.2,1.15,4,8,213
P000041,L0000063,SKU-00041,Premium Tomato Sauce,Pantry,6.21285E+12,LOC003,Birmingham - Central,2006,Best Before,9/3/2025,10/25/2025,129,24,35,6.27,8.52,2.42,8,24,129
P000018,L0000064,SKU-00018,Premium Carrots,Produce,6.06684E+12,LOC001,London - High St,2007,Use By,10/16/2025,10/24/2025,219,33,22,1.72,2.1,5.71,18,8,219
P000021,L0000065,SKU-00021,Family Spinach,Produce,1.06728E+12,LOC002,Manchester - City,2010,Use By,10/14/2025,10/22/2025,180,124,10,1.61,2.01,1.14,4,12,180
P000053,L0000066,SKU-00053,Classic AA Batteries 4pk,GM,1.67651E+12,LOC002,Manchester - City,2006,Best Before,7/27/2025,10/23/2025,380,308,45,5.21,6.29,0.77,3,8,380
P000001,L0000067,SKU-00001,Classic Orange Juice 1L,Beverages,4.16411E+11,LOC003,Birmingham - Central,2002,Best Before,1/19/2026,2/26/2026,44,20,27,1.56,1.9,2.39,8,16,81
P000043,L0000068,SKU-00043,Budget Pasta 500g,Pantry,4.36371E+12,LOC003,Birmingham - Central,2008,Best Before,8/9/2025,10/23/2025,389,365,78,3.6,4.33,2.9,9,8,389
P000037,L0000069,SKU-00037,Everyday Chicken Breast 500g,Meat,7.48826E+12,LOC001,London - High St,2002,Use By,10/18/2025,10/20/2025,271,95,43,7.94,10.49,1.34,5,24,271
P000048,L0000070,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC001,London - High St,2001,Use By,10/19/2025,10/20/2025,60,41,14,2.62,3.67,1.16,4,16,60
P000024,L0000071,SKU-00024,Select White Bread,Bakery,4.77348E+12,LOC002,Manchester - City,2001,Use By,10/17/2025,10/20/2025,214,145,23,2.12,3.07,2.96,9,24,214
P000054,L0000072,SKU-00054,Everyday White Bread,Bakery,5.55389E+11,LOC003,Birmingham - Central,2007,Use By,10/20/2025,10/20/2025,39,30,68,2.31,2.94,3.98,12,8,204
P000022,L0000073,SKU-00022,Select Infant Formula 400g,Baby,9.07895E+12,LOC003,Birmingham - Central,2011,Best Before,12/23/2025,1/17/2026,305,262,17,2.62,3.3,0.91,3,20,305
P000023,L0000074,SKU-00023,Everyday Dish Soap 500ml,Household,2.65609E+12,LOC001,London - High St,2012,Best Before,5/15/2027,6/7/2027,207,103,77,3.64,4.23,0.05,1,20,231
P000022,L0000075,SKU-00022,Select Infant Formula 400g,Baby,9.07895E+12,LOC001,London - High St,2011,Best Before,9/10/2025,10/23/2025,314,234,17,2.62,3.3,0.39,2,20,314
P000006,L0000076,SKU-00006,Organic Laundry Detergent 1L,Household,7.69504E+12,LOC002,Manchester - City,2007,Best Before,7/2/2026,9/11/2026,168,62,62,6.36,8.48,0.43,2,20,186
P000058,L0000077,SKU-00058,Classic Frozen Pizza,Frozen,4.11523E+12,LOC002,Manchester - City,2011,Best Before,7/22/2025,10/19/2025,225,60,71,2.44,2.84,1.61,5,10,225
P000037,L0000078,SKU-00037,Everyday Chicken Breast 500g,Meat,7.48826E+12,LOC001,London - High St,2002,Use By,10/19/2025,10/20/2025,112,32,43,7.94,10.49,1.42,5,10,129
P000059,L0000079,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC001,London - High St,2012,Use By,10/15/2025,10/22/2025,148,135,68,1.21,1.41,3.23,10,20,204
P000060,L0000080,SKU-00060,Local Toothpaste 100ml,PersonalCare,7.68503E+11,LOC002,Manchester - City,2001,Best Before,3/1/2026,4/3/2026,358,330,80,1.41,1.75,0.57,2,24,358
P000054,L0000081,SKU-00054,Everyday White Bread,Bakery,5.55389E+11,LOC002,Manchester - City,2007,Use By,10/18/2025,10/22/2025,204,169,68,2.31,2.94,2.61,8,6,204
P000033,L0000082,SKU-00033,Premium Milk 1L,Dairy,6.52105E+12,LOC003,Birmingham - Central,2010,Use By,10/19/2025,10/29/2025,155,54,20,2.24,3.12,1.84,6,6,155
P000056,L0000083,SKU-00056,Premium Sweetcorn 1kg,Frozen,1.8281E+11,LOC001,London - High St,2009,Best Before,7/15/2026,8/18/2026,260,213,17,1.5,1.95,1.77,6,10,260
P000020,L0000084,SKU-00020,Classic Tomatoes,Produce,7.47995E+12,LOC003,Birmingham - Central,2009,Use By,10/18/2025,10/23/2025,250,182,56,1.45,1.91,5.36,17,10,250
P000003,L0000085,SKU-00003,Local Brown Bread,Bakery,7.10122E+12,LOC001,London - High St,2004,Use By,10/19/2025,10/21/2025,226,180,46,1.29,1.77,2.9,9,6,226
P000039,L0000086,SKU-00039,Classic Milk 1L,Dairy,9.48818E+12,LOC002,Manchester - City,2004,Use By,10/12/2025,10/22/2025,107,95,65,1.71,2.38,1.65,5,12,195
P000034,L0000087,SKU-00034,Family Rice 1kg,Pantry,3.43281E+12,LOC001,London - High St,2011,Best Before,4/17/2026,6/27/2026,290,168,35,6.18,7.42,0.48,2,6,290
P000025,L0000088,SKU-00025,Everyday Cooking Oil 1L,Pantry,8.16671E+12,LOC003,Birmingham - Central,2002,Best Before,6/21/2026,7/7/2026,267,115,50,0.87,1.01,1.89,6,20,267
P000031,L0000089,SKU-00031,Organic Baby Wipes 72pk,Baby,2.72022E+12,LOC003,Birmingham - Central,2008,Best Before,4/26/2026,5/20/2026,232,50,45,5.85,7.34,0.93,3,12,232
P000050,L0000090,SKU-00050,Organic Ice Cream 500ml,Frozen,9.62818E+12,LOC001,London - High St,2003,Best Before,1/4/2026,3/18/2026,373,73,55,4.1,5.2,0.37,2,16,373
P000010,L0000091,SKU-00010,Classic Pork Chops 400g,Meat,8.56503E+12,LOC002,Manchester - City,2011,Use By,10/17/2025,10/21/2025,174,105,40,4.73,6.71,0.81,3,12,174
P000013,L0000092,SKU-00013,Select Sweetcorn 1kg,Frozen,8.82582E+12,LOC001,London - High St,2002,Best Before,9/21/2025,12/18/2025,63,42,66,5.53,7.22,0.65,2,10,198
P000059,L0000093,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC003,Birmingham - Central,2012,Use By,10/20/2025,10/21/2025,397,311,68,1.21,1.41,5.93,18,24,397
P000022,L0000094,SKU-00022,Select Infant Formula 400g,Baby,9.07895E+12,LOC002,Manchester - City,2011,Best Before,2/7/2026,2/22/2026,172,113,17,2.62,3.3,0.68,3,16,172
P000052,L0000095,SKU-00052,Local Rice 1kg,Pantry,2.83828E+12,LOC001,London - High St,2005,Best Before,7/18/2026,8/12/2026,91,57,39,5.38,7.01,1.18,4,20,117
P000043,L0000096,SKU-00043,Budget Pasta 500g,Pantry,4.36371E+12,LOC001,London - High St,2008,Best Before,3/1/2026,4/14/2026,120,61,78,3.6,4.33,1.46,5,6,234
P000048,L0000097,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC001,London - High St,2001,Use By,10/20/2025,10/20/2025,141,117,14,2.62,3.67,1.92,6,8,141
P000058,L0000098,SKU-00058,Classic Frozen Pizza,Frozen,4.11523E+12,LOC002,Manchester - City,2011,Best Before,1/26/2026,3/25/2026,400,16,71,2.44,2.84,1.15,4,10,400
P000028,L0000099,SKU-00028,Classic Canned Beans,Pantry,7.36387E+12,LOC003,Birmingham - Central,2005,Best Before,2/3/2026,4/1/2026,46,26,11,6.05,7.66,0.65,2,16,46
P000004,L0000100,SKU-00004,Organic Muffins 4pk,Bakery,4.5874E+12,LOC003,Birmingham - Central,2005,Use By,10/19/2025,10/22/2025,128,28,12,2.2,2.65,3.44,11,8,128
P000006,L0000101,SKU-00006,Organic Laundry Detergent 1L,Household,7.69504E+12,LOC001,London - High St,2007,Best Before,7/18/2026,9/26/2026,52,21,62,6.36,8.48,0.16,1,24,186
P000049,L0000102,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC002,Manchester - City,2002,Use By,10/17/2025,10/23/2025,365,196,45,2.68,3.39,3.46,11,8,365
P000010,L0000103,SKU-00010,Classic Pork Chops 400g,Meat,8.56503E+12,LOC001,London - High St,2011,Use By,10/19/2025,10/21/2025,354,176,40,4.73,6.71,2.05,7,6,354
P000022,L0000104,SKU-00022,Select Infant Formula 400g,Baby,9.07895E+12,LOC001,London - High St,2011,Best Before,6/9/2026,6/29/2026,400,376,17,2.62,3.3,0.82,3,8,400
P000027,L0000105,SKU-00027,Family Rice 1kg,Pantry,3.64241E+11,LOC001,London - High St,2004,Best Before,3/12/2026,4/8/2026,374,81,35,2.06,2.92,0.23,1,16,374
P000048,L0000106,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC001,London - High St,2001,Use By,10/20/2025,10/21/2025,359,209,14,2.62,3.67,3.59,11,12,359
P000013,L0000107,SKU-00013,Select Sweetcorn 1kg,Frozen,8.82582E+12,LOC002,Manchester - City,2002,Best Before,3/25/2026,5/19/2026,373,332,66,5.53,7.22,1.02,4,12,373
P000042,L0000108,SKU-00042,Everyday Croissant,Bakery,6.49083E+12,LOC001,London - High St,2007,Use By,10/18/2025,10/21/2025,161,99,49,2.26,2.98,2.24,7,12,161
P000038,L0000109,SKU-00038,Organic Potato Chips 150g,Snacks,2.91412E+12,LOC001,London - High St,2003,Best Before,9/7/2026,9/23/2026,20,16,76,2.73,3.18,2.17,7,24,228
P000002,L0000110,SKU-00002,Classic Mineral Water 1.5L,Beverages,2.58532E+12,LOC001,London - High St,2003,Best Before,9/27/2025,10/22/2025,232,135,57,2.07,2.99,1.07,4,16,232
P000045,L0000111,SKU-00045,Family Dish Soap 500ml,Household,4.03028E+12,LOC002,Manchester - City,2010,Best Before,6/9/2026,7/9/2026,31,16,71,7.08,10.07,0.1,1,8,213
P000037,L0000112,SKU-00037,Everyday Chicken Breast 500g,Meat,7.48826E+12,LOC002,Manchester - City,2002,Use By,10/16/2025,10/21/2025,350,201,43,7.94,10.49,2.18,7,16,350
P000002,L0000113,SKU-00002,Classic Mineral Water 1.5L,Beverages,2.58532E+12,LOC001,London - High St,2003,Best Before,8/13/2025,10/18/2025,150,89,57,2.07,2.99,3.34,11,12,171
P000030,L0000114,SKU-00030,Everyday Cooking Oil 1L,Pantry,5.36018E+12,LOC001,London - High St,2007,Best Before,12/8/2025,2/22/2026,215,192,60,4.26,5.57,2.79,9,10,215
P000049,L0000115,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC003,Birmingham - Central,2002,Use By,10/20/2025,10/26/2025,358,18,45,2.68,3.39,2.55,8,6,358
P000009,L0000116,SKU-00009,Local Bananas,Produce,1.16086E+12,LOC003,Birmingham - Central,2010,Use By,10/17/2025,10/20/2025,143,130,28,0.78,0.93,3.87,12,16,143
P000048,L0000117,SKU-00048,Family White Bread,Bakery,3.87055E+12,LOC001,London - High St,2001,Use By,10/17/2025,10/20/2025,262,105,14,2.62,3.67,2.57,8,8,262
P000042,L0000118,SKU-00042,Everyday Croissant,Bakery,6.49083E+12,LOC003,Birmingham - Central,2007,Use By,10/20/2025,10/20/2025,230,111,49,2.26,2.98,3.17,10,20,230
P000046,L0000119,SKU-00046,Organic Ice Cream 500ml,Frozen,6.61103E+12,LOC003,Birmingham - Central,2011,Best Before,8/31/2025,10/20/2025,205,161,33,4.21,4.94,0.87,3,8,205
P000021,L0000120,SKU-00021,Family Spinach,Produce,1.06728E+12,LOC001,London - High St,2010,Use By,10/14/2025,10/20/2025,387,82,10,1.61,2.01,3.1,10,10,387
P000059,L0000121,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC003,Birmingham - Central,2012,Use By,10/14/2025,10/21/2025,38,38,68,1.21,1.41,5.07,16,16,204
P000058,L0000122,SKU-00058,Classic Frozen Pizza,Frozen,4.11523E+12,LOC001,London - High St,2011,Best Before,2/17/2026,4/26/2026,160,150,71,2.44,2.84,1.98,6,12,213
P000025,L0000123,SKU-00025,Everyday Cooking Oil 1L,Pantry,8.16671E+12,LOC002,Manchester - City,2002,Best Before,12/2/2025,2/10/2026,294,134,50,0.87,1.01,1.3,4,20,294
P000033,L0000124,SKU-00033,Premium Milk 1L,Dairy,6.52105E+12,LOC001,London - High St,2010,Use By,10/18/2025,10/25/2025,153,7,20,2.24,3.12,1.67,6,24,153
P000002,L0000125,SKU-00002,Classic Mineral Water 1.5L,Beverages,2.58532E+12,LOC001,London - High St,2003,Best Before,11/5/2025,12/19/2025,311,287,57,2.07,2.99,3.36,11,16,311
P000038,L0000126,SKU-00038,Organic Potato Chips 150g,Snacks,2.91412E+12,LOC003,Birmingham - Central,2003,Best Before,6/22/2026,8/6/2026,140,47,76,2.73,3.18,0.41,2,6,228
P000030,L0000127,SKU-00030,Everyday Cooking Oil 1L,Pantry,5.36018E+12,LOC002,Manchester - City,2007,Best Before,11/22/2025,1/9/2026,135,32,60,4.26,5.57,0.85,3,16,180
P000059,L0000128,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC001,London - High St,2012,Use By,10/12/2025,10/21/2025,233,201,68,1.21,1.41,2.43,8,12,233
P000054,L0000129,SKU-00054,Everyday White Bread,Bakery,5.55389E+11,LOC002,Manchester - City,2007,Use By,10/19/2025,10/20/2025,55,25,68,2.31,2.94,3.98,12,20,204
P000041,L0000130,SKU-00041,Premium Tomato Sauce,Pantry,6.21285E+12,LOC001,London - High St,2006,Best Before,9/7/2026,9/23/2026,356,130,35,6.27,8.52,2.05,7,12,356
P000049,L0000131,SKU-00049,Premium Yogurt 500g,Dairy,2.05092E+12,LOC003,Birmingham - Central,2002,Use By,10/19/2025,10/28/2025,297,47,45,2.68,3.39,4.68,15,20,297
P000039,L0000132,SKU-00039,Classic Milk 1L,Dairy,9.48818E+12,LOC002,Manchester - City,2004,Use By,10/14/2025,10/27/2025,315,107,65,1.71,2.38,2.87,9,20,315
P000059,L0000133,SKU-00059,Everyday Apples,Produce,1.48666E+11,LOC003,Birmingham - Central,2012,Use By,10/17/2025,10/21/2025,270,49,68,1.21,1.41,5.22,16,12,270
P000057,L0000134,SKU-00057,Premium Orange Juice 1L,Beverages,2.53567E+12,LOC002,Manchester - City,2010,Best Before,2/1/2026,4/10/2026,107,28,12,2.46,3.29,0.43,2,24,107
P000004,L0000135,SKU-00004,Organic Muffins 4pk,Bakery,4.5874E+12,LOC001,London - High St,2005,Use By,10/18/2025,10/20/2025,318,82,12,2.2,2.65,1.48,5,8,318
P000025,L0000136,SKU-00025,Everyday Cooking Oil 1L,Pantry,8.16671E+12,LOC003,Birmingham - Central,2002,Best Before,8/28/2025,10/23/2025,106,46,50,0.87,1.01,1.26,4,12,150
P000035,L0000137,SKU-00035,Organic Handwash 250ml,PersonalCare,6.09455E+12,LOC002,Manchester - City,2012,Best Before,11/3/2026,12/16/2026,331,259,69,10.34,12.14,0.57,2,24,331
P000003,L0000138,SKU-00003,Local Brown Bread,Bakery,7.10122E+12,LOC002,Manchester - City,2004,Use By,10/18/2025,10/19/2025,26,8,46,1.29,1.77,2.35,8,10,138
P000015,L0000139,SKU-00015,Organic Brown Bread,Bakery,1.95159E+12,LOC002,Manchester - City,2004,Use By,10/19/2025,10/21/2025,196,127,13,0.52,0.65,2.54,8,24,196
P000024,L0000140,SKU-00024,Select White Bread,Bakery,4.77348E+12,LOC002,Manchester - City,2001,Use By,10/20/2025,10/21/2025,316,291,23,2.12,3.07,3.95,12,16,316
